player_x,stone_x,stone_y,distance_x,player_x_norm,stone_x_norm,stone_y_norm,distance_x_norm,action_label
5,1,0,-4,0.5555555555555556,0.1111111111111111,0.0,-0.4444444444444444,0
4,1,1,-3,0.4444444444444444,0.1111111111111111,0.1111111111111111,-0.3333333333333333,2
5,1,2,-4,0.5555555555555556,0.1111111111111111,0.2222222222222222,-0.4444444444444444,1
5,1,3,-4,0.5555555555555556,0.1111111111111111,0.3333333333333333,-0.4444444444444444,0
4,1,4,-3,0.4444444444444444,0.1111111111111111,0.4444444444444444,-0.3333333333333333,1
4,1,5,-3,0.4444444444444444,0.1111111111111111,0.5555555555555556,-0.3333333333333333,1
4,1,6,-3,0.4444444444444444,0.1111111111111111,0.6666666666666666,-0.3333333333333333,2
5,1,7,-4,0.5555555555555556,0.1111111111111111,0.7777777777777778,-0.4444444444444444,2
6,1,8,-5,0.6666666666666666,0.1111111111111111,0.8888888888888888,-0.5555555555555556,1
6,0,0,-6,0.6666666666666666,0.0,0.0,-0.6666666666666666,2
7,0,1,-7,0.7777777777777778,0.0,0.1111111111111111,-0.7777777777777778,2
8,0,2,-8,0.8888888888888888,0.0,0.2222222222222222,-0.8888888888888888,2
9,0,3,-9,1.0,0.0,0.3333333333333333,-1.0,1
9,0,4,-9,1.0,0.0,0.4444444444444444,-1.0,1
9,0,5,-9,1.0,0.0,0.5555555555555556,-1.0,1
9,0,6,-9,1.0,0.0,0.6666666666666666,-1.0,1
9,0,7,-9,1.0,0.0,0.7777777777777778,-1.0,1
9,0,8,-9,1.0,0.0,0.8888888888888888,-1.0,1
9,4,0,-5,1.0,0.4444444444444444,0.0,-0.5555555555555556,1
9,4,1,-5,1.0,0.4444444444444444,0.1111111111111111,-0.5555555555555556,1
9,4,2,-5,1.0,0.4444444444444444,0.2222222222222222,-0.5555555555555556,1
9,4,3,-5,1.0,0.4444444444444444,0.3333333333333333,-0.5555555555555556,1
9,4,4,-5,1.0,0.4444444444444444,0.4444444444444444,-0.5555555555555556,1
9,4,5,-5,1.0,0.4444444444444444,0.5555555555555556,-0.5555555555555556,2
4,1,0,-3,0,1,1
4,1,1,-3,0,1,1
