player_x,stone_x,stone_y,horizontal_distance,stone_speed,action
0.67674,0.68198,0.86846,0.00525,0.71712,left
0.68706,0.08534,0.0674,-0.60172,0.44791,stay
0.10819,0.08902,0.34422,-0.01917,0.84776,right
0.5806,0.8009,0.50937,0.2203,0.51679,stay
0.42844,0.27976,0.98158,-0.14868,0.78802,right
0.20366,0.43408,0.88084,0.23042,0.99622,stay
0.28732,0.4989,0.42342,0.21157,0.68085,left
0.27266,0.29712,0.62648,0.02447,0.50483,left
0.62789,0.55819,0.85614,-0.06971,0.89082,right
0.65568,0.16083,0.30283,-0.49485,0.57403,stay
0.83514,0.06375,0.06842,-0.7714,0.78976,stay
0.62437,0.94843,0.47357,0.32406,0.49584,stay
0.89056,0.89874,0.79484,0.00818,0.64269,left
0.25931,0.78051,0.50795,0.5212,0.66207,stay
0.11431,0.46668,0.88706,0.35237,0.44102,stay
0.15867,0.16276,0.41515,0.00409,0.82689,left
0.48536,0.12666,0.09341,-0.3587,0.63851,stay
0.31403,0.38235,0.14557,0.06832,0.73276,left
0.54964,0.06928,0.81264,-0.48035,0.97784,stay
0.3563,0.8575,0.70118,0.5012,0.58747,stay
0.4668,0.86209,0.09329,0.3953,0.83952,stay
0.84375,0.42747,0.57054,-0.41628,0.92233,stay
0.25208,0.58772,0.5005,0.33565,0.50313,stay
0.81004,0.5,0.0,-0.31004,0.0,stay
0.63653,0.7383,0.20746,0.10177,0.80539,left
0.80367,0.38327,0.51897,-0.4204,0.95739,stay
0.63063,0.6193,0.62407,-0.01134,0.46362,right
0.79177,0.49094,0.26733,-0.30083,0.59611,stay
0.48042,0.25865,0.05007,-0.22176,0.49499,stay
0.40489,0.15426,0.08255,-0.25063,0.75572,stay
0.29657,0.5,0.0,0.20343,0.0,stay
0.89514,0.65493,0.9984,-0.24021,0.82667,stay
0.92746,0.16152,0.52058,-0.76594,0.778,stay
0.65697,0.725,0.05302,0.06803,0.54689,left
0.9094,0.67004,0.06785,-0.23936,0.56133,stay
0.73321,0.5,0.0,-0.23321,0.0,stay
0.10221,0.45493,0.20938,0.35272,0.87092,stay
0.54339,0.20726,0.88216,-0.33613,0.67915,stay
0.86259,0.96019,0.93411,0.0976,0.92477,left
0.65102,0.81063,0.37455,0.15961,0.67121,left
0.39779,0.47629,0.32884,0.0785,0.9783,left
0.58312,0.3177,0.76816,-0.26542,0.7405,stay
0.44663,0.82521,0.77198,0.37859,0.71918,stay
0.67988,0.29436,0.84799,-0.38552,0.57215,stay
0.30434,0.32528,0.60242,0.02094,0.93754,left
0.62137,0.12132,0.22482,-0.50005,0.83413,stay
0.05888,0.38453,0.96877,0.32565,0.64582,stay
0.69975,0.63108,0.31292,-0.06866,0.7134,right
0.39863,0.74682,0.13033,0.34819,0.91242,stay
0.3407,0.82368,0.40688,0.48298,0.49938,stay
0.07224,0.51586,0.77049,0.44362,0.72316,stay
0.28225,0.37164,0.18335,0.08939,0.95284,left
0.33704,0.32305,0.53958,-0.01399,0.99129,right
0.4197,0.40253,0.48636,-0.01717,0.45738,right
0.47629,0.29217,0.55728,-0.18412,0.67069,right
0.23956,0.93145,0.32846,0.69189,0.95099,stay
0.81991,0.12339,0.68568,-0.69651,0.74035,stay
0.09228,0.38869,0.41657,0.29641,0.87922,stay
0.60359,0.37933,0.65022,-0.22426,0.51067,stay
0.71752,0.93279,0.07808,0.21527,0.7912,left
0.45981,0.33247,0.18865,-0.12734,0.82757,right
0.23872,0.68159,0.35048,0.44287,0.8786,stay
0.41265,0.0356,0.80748,-0.37705,0.9287,stay
0.33648,0.5,0.0,0.16352,0.0,stay
0.34781,0.29147,0.50693,-0.05634,0.74378,right
0.66938,0.48182,0.23451,-0.18756,0.43727,right
0.62757,0.3718,0.51702,-0.25577,0.97455,stay
0.32925,0.34914,0.33307,0.0199,0.52584,left
0.53297,0.93272,0.51249,0.39976,0.57561,stay
0.72602,0.5031,0.01087,-0.22292,0.90463,stay
0.51744,0.26617,0.46288,-0.25128,0.96364,stay
0.8443,0.53547,0.66666,-0.30883,0.46804,stay
0.89175,0.88077,0.86763,-0.01098,0.56219,right
0.64565,0.16435,0.41695,-0.48131,0.92726,stay
0.81771,0.5,0.0,-0.31771,0.0,stay
0.40154,0.70806,0.78555,0.30652,0.70271,stay
0.4633,0.34181,0.08752,-0.12149,0.46093,right
0.70151,0.28857,0.14996,-0.41293,0.6453,stay
0.71607,0.223,0.18424,-0.49308,0.99423,stay
0.50293,0.33486,0.45902,-0.16807,0.53321,right
0.06112,0.84623,0.52482,0.78511,0.85387,stay
0.31133,0.31196,0.15751,0.00063,0.83445,left
0.55193,0.51516,0.63065,-0.03677,0.4581,right
0.1314,0.96509,0.18187,0.83368,0.64946,stay
0.17935,0.82715,0.20172,0.6478,0.73169,stay
0.82577,0.5,0.0,-0.32577,0.0,stay
0.4873,0.54559,0.54879,0.0583,0.48547,left
0.9484,0.14854,0.72277,-0.79986,0.59101,stay
0.80284,0.16332,0.91217,-0.63951,0.44368,stay
0.20943,0.62582,0.40612,0.41638,0.78396,stay
0.80728,0.51974,0.30494,-0.28755,0.74519,stay
0.41295,0.24533,0.67575,-0.16762,0.62376,right
0.35587,0.80384,0.61057,0.44798,0.85846,stay
0.08245,0.62152,0.22554,0.53907,0.5161,stay
0.93679,0.78837,0.23945,-0.14842,0.5673,right
0.68297,0.83645,0.74729,0.15347,0.44392,left
0.1466,0.42188,0.42483,0.27528,0.44594,stay
0.36282,0.4042,0.12806,0.04138,0.93284,right
0.68645,0.03859,0.50573,-0.64786,0.64272,stay
